央视,#genre#
CCTV-1综合,https://live.tv.darwinchow.com/channel/cctv1?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-2财经,https://live.tv.darwinchow.com/channel/cctv2?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-3综艺,https://live.tv.darwinchow.com/channel/cctv3?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-4中文国际,https://live.tv.darwinchow.com/channel/cctv4?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-5体育,https://live.tv.darwinchow.com/channel/cctv5?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-5+体育赛事,https://live.tv.darwinchow.com/channel/cctv5p?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-6电影,https://live.tv.darwinchow.com/channel/cctv6?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-7国防军事,https://live.tv.darwinchow.com/channel/cctv7?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-8电视剧,https://live.tv.darwinchow.com/channel/cctv8?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-9纪录,https://live.tv.darwinchow.com/channel/cctv9?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-10科教,https://live.tv.darwinchow.com/channel/cctv10?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-11戏曲,https://live.tv.darwinchow.com/channel/cctv11?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-12社会与法,https://live.tv.darwinchow.com/channel/cctv12?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-13新闻,https://live.tv.darwinchow.com/channel/cctv13?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
CCTV-14少儿,https://live.tv.darwinchow.com/channel/cctv14?livekey=01WPMMybQnBwvNwvaclJPIM4QAWe5C8zSPy9p&userkey=40e524cc7e3d2c4b
